filename,Sale Price,TermRemaining,TracksIncluded,Fees,NumberOfBids,NumberOfBiddersForIDBefore2783,HighestBidLowestBid,HasLastTransaction,Income_Type_STREAMING MECHANICAL,Income_Type_STREAMINGP ERFORMANCE,Income_Type_STREAMINGS YNCHRONIZATION,Income_Type_MECHANICAL,Income_Type_PERFORMANCE,Income_Type_OTHER,Income_Type_SOUNDRECORDING,Income_Type_SYNCHRONIZATION,Income_Type_DOWNLOAD MECHANICAL,Income_Type_PRINT,Income_Type_DOWNLOAD PERFORMANCE,Income_Type_MECHANICAL PERFORMANCE,Income_Type_PROFIT PARTICIPATION,Income_Type_RADIO,Last12Months,EarningsSinceStart,3YearAverage,DollarAge,CopyrightsIncluded_Yes,Type_xroyaltyType_MusicalCompositionSoundRecording,Type_xroyaltyType_SoundRecording,Rights_Public_Performance,Rights_Sync,Distributor_universal,Distributor_bmi,Distributor_ascap,Distributor_sony,Distributor_warner,Source_cd_sales,Source tv_film,Source_ satellite_radio,Source_internet_streaming
350.json,32500.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,15,1,17000.0,1,,,,,,,,,,,,,,,7718.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351.json,26500.0,Life of author + 70 years,,,8,1,1500.0,1,,,,,,,,,,,,,,,5016.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352.json,21000.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,32,1,14500.0,1,,,,,,,,,,,,,,,3493.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353.json,150000.0,Life of the author + 70 Years,,,3,1,20000.0,1,,,,,,,,,,,,,,,42653.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354.json,9250.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,31,1,7250.0,1,,,,,,,,,,,,,,,1835.43,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357.json,30500.0,Life of author + 70 years,,,26,1,24500.0,1,,,,,,,,,,,,,,,11234.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358.json,69000.0,Life of author + 70 years,,$500 or $49/year*,4,1,6000.0,1,,,,,,,,,,,,,,,16653.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.json,21000.0,Life of author + 70 years,,,16,1,8000.0,1,,,,,,,,,,,,,,,3742.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361.json,60500.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,4,1,7500.0,1,,,,,,,,,,,,,,,17807.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362.json,24500.0,Life of author + 70 years,,$500 BMI Assignment Fee,18,1,8500.0,1,,,,,,,,,,,,,,,4775.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363.json,37500.0,"Varies by Photograph, see Documents tab",,$99/year,7,1,12500.0,1,,,,,,,,,,,,,,,9719.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364.json,57000.0,Life of author + 70 years,,,30,1,27000.0,1,,,,,,,,,,,,,,,9984.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365.json,20000.0,Life of author + 70 years,,,5,1,2000.0,1,,,,,,,,,,,,,,,11940.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366.json,24500.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,39,1,16500.0,1,,,,,,,,,,,,,,,4298.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368.json,17500.0,Life of author + 70 years,,$500 BMI Payee Account Fee*,13,1,5500.0,1,,,,,,,,,,,,,,,4216.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369.json,32500.0,Life of the author + 70 years,,$500 BMI Payee Account Fee*,24,1,12500.0,1,,,,,,,,,,,,,,,8314.0,,,,1,0,0,1,0,0,1,0,0,0,0,1,1,1
370.json,10500.0,Life of author + 70 years,,$500 BMI Payee Account Fee*,3,1,500.0,1,,,,,,,,,,,,,,,3426.0,,,,1,0,0,1,0,0,1,0,0,0,0,1,1,1
371.json,11750.0,Life of author + 70 years,,$500 BMI Payee Account Fee*,6,1,1750.0,1,,,,,,,,,,,,,,,3328.0,,,,1,0,0,1,0,0,1,0,0,0,0,1,1,1
373.json,36000.0,Life of author + 70 years,,None,44,1,21000.0,1,,,,,,,,,,,,,,,5331.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374.json,31000.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,14,1,6000.0,1,,,,,,,,,,,,,,,6186.0,,,,1,0,0,1,0,0,0,1,0,0,0,1,1,1
375.json,152500.0,Life of author + 70 years,,$500 BMI Payee Account Fee*,5,1,22500.0,1,,,,,,,,,,,,,,,33668.0,,,,1,0,0,1,0,0,1,0,0,0,0,1,1,1
377.json,39000.0,Life of author + 70 years,,$500 BMI Payee Account Fee*,11,1,9000.0,1,,,,,,,,,,,,,,,16265.0,,,,1,0,0,1,0,0,1,0,0,0,0,1,1,1
380.json,47500.0,Life of author + 70 years,,None,50,1,23500.0,1,,,,,,,,,,,,,,,7828.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381.json,43000.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,18,1,19000.0,1,,,,,,,,,,,,,,,12059.0,,,,1,0,0,1,0,0,0,1,0,0,0,1,1,1
382.json,40000.0,Life of author + 70 years,,$500 BMI Payee Account Fee*,50,1,23000.0,1,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,1,1,1
383.json,19000.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,44,1,12000.0,1,,,,,,,,,,,,,,,3578.0,,,,1,0,0,1,0,0,0,1,0,0,0,1,1,1
384.json,37000.0,Life of author + 70 years,,$75 ASCAP Assignment Fee,43,1,21000.0,1,,,,,,,,,,,,,,,7962.0,,,,1,0,0,1,0,0,0,1,0,0,0,1,1,1
385.json,70000.0,Life of author + 70 years,,None,11,1,10000.0,1,,,,,,,,,,,,,,,11951.0,,,,1,0,1,0,1,0,0,0,0,0,1,1,0,0
386.json,5250.0,Life of author + 70 years,,None,45,1,3950.0,1,,,,,,,,,,,,,,,692.25,,,,1,0,0,1,0,0,0,1,0,0,0,1,1,1
